wordform	lemma	msd
Ajdinovićima	Ajdinović	Npmpi
Ajdinovićima	Ajdinović	Npmpl
Ajdinovići	Ajdinović	Npmpn
Ajdinovići	Ajdinović	Npmpv
Ajdinovića	Ajdinović	Npmsay
Ajdinoviću	Ajdinović	Npmsd
Ajdinovića	Ajdinović	Npmsg
Ajdinovićem	Ajdinović	Npmsi
Ajdinoviću	Ajdinović	Npmsl
Ajdinović	Ajdinović	Npmsn
Ajdinoviću	Ajdinović	Npmsv
Ajduk	Ajduk	Npfpa
Ajduk	Ajduk	Npfpd
Ajduk	Ajduk	Npfpg
Ajduk	Ajduk	Npfpi
Ajduk	Ajduk	Npfpl
Ajduk	Ajduk	Npfpn
Ajduk	Ajduk	Npfpv
Ajduk	Ajduk	Npfsa
Ajduk	Ajduk	Npfsd
Ajduk	Ajduk	Npfsg
Ajduk	Ajduk	Npfsi
Ajduk	Ajduk	Npfsl
Ajduk	Ajduk	Npfsn
Ajduk	Ajduk	Npfsv
Ajduke	Ajduk	Npmpa
Ajdukima	Ajduk	Npmpd
Ajduka	Ajduk	Npmpg
Ajdukima	Ajduk	Npmpi
Ajdukima	Ajduk	Npmpl
Ajduki	Ajduk	Npmpn
Ajduki	Ajduk	Npmpv
Ajduka	Ajduk	Npmsay
Ajduku	Ajduk	Npmsd
Ajduka	Ajduk	Npmsg
Ajdukem	Ajduk	Npmsi
Ajduku	Ajduk	Npmsl
Ajduk	Ajduk	Npmsn
Ajduku	Ajduk	Npmsv
Ajduković	Ajduković	Npfpa
Ajduković	Ajduković	Npfpd
Ajduković	Ajduković	Npfpg
Ajduković	Ajduković	Npfpi
Ajduković	Ajduković	Npfpl
Ajduković	Ajduković	Npfpn
Ajduković	Ajduković	Npfpv
Ajduković	Ajduković	Npfsa
Ajduković	Ajduković	Npfsd
Ajduković	Ajduković	Npfsg
Ajduković	Ajduković	Npfsi
Ajduković	Ajduković	Npfsl
Ajduković	Ajduković	Npfsn
Ajduković	Ajduković	Npfsv
Ajdukoviće	Ajduković	Npmpa
Ajdukovićima	Ajduković	Npmpd
Ajdukovića	Ajduković	Npmpg
Ajdukovićima	Ajduković	Npmpi
Ajdukovićima	Ajduković	Npmpl
Ajdukovići	Ajduković	Npmpn
Ajdukovići	Ajduković	Npmpv
Ajdukovića	Ajduković	Npmsay
Ajdukoviću	Ajduković	Npmsd
Ajdukovića	Ajduković	Npmsg
Ajdukovićem	Ajduković	Npmsi
Ajdukoviću	Ajduković	Npmsl
Ajduković	Ajduković	Npmsn
Ajduković	Ajduković	Npmsv
Ajdukoviću	Ajduković	Npmsv
Ajdučić	Ajdučić	Npfpa
Ajdučić	Ajdučić	Npfpd
Ajdučić	Ajdučić	Npfpg
Ajdučić	Ajdučić	Npfpi
Ajdučić	Ajdučić	Npfpl
Ajdučić	Ajdučić	Npfpn
Ajdučić	Ajdučić	Npfpv
Ajdučić	Ajdučić	Npfsa
Ajdučić	Ajdučić	Npfsd
Ajdučić	Ajdučić	Npfsg
Ajdučić	Ajdučić	Npfsi
Ajdučić	Ajdučić	Npfsl
Ajdučić	Ajdučić	Npfsn
Ajdučić	Ajdučić	Npfsv
Ajdučiće	Ajdučić	Npmpa
Ajdučićima	Ajdučić	Npmpd
Ajdučića	Ajdučić	Npmpg
Ajdučićima	Ajdučić	Npmpi
Ajdučićima	Ajdučić	Npmpl
Ajdučići	Ajdučić	Npmpn
Ajdučići	Ajdučić	Npmpv
Ajdučića	Ajdučić	Npmsay
Ajdučiću	Ajdučić	Npmsd
Ajdučića	Ajdučić	Npmsg
Ajdučićem	Ajdučić	Npmsi
Ajdučiću	Ajdučić	Npmsl
Ajdučić	Ajdučić	Npmsn
